Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated
Ankit 08chouhan,Saale dalaal isme corona nhi dikhta tujhe,2021-05-25T05:39:29Z,0,0,,,,
Saddam barbhuiya,chahie please sar kuchh bhi humko bataiye,2021-03-27T18:21:35Z,0,0,,,,
Ismail Hotel,NDTV<br>Good news 👍👌👍👌👍👍,2021-03-12T16:32:49Z,0,0,,,,
Ismail Hotel,Jai jai jai kisan 🙋👪🤷👌👍🙏🙏,2021-03-12T16:31:40Z,0,0,,,,
Wazir Singh,Ravish Kumar Ji aap ko Sat shri Akaal,2021-01-26T08:29:29Z,0,0,,,,
Smart Mom,Thank u NDTV and Ravish Sir.,2021-01-15T22:15:04Z,0,0,,,,
Mohammed Ghouns,آپ کا شکریہ جناب,2021-01-05T09:09:47Z,0,0,,,,
Mohammed Ghouns,ظلم ھے کسان پر چلو بھائی ہندوستان کی سیلکر نہ رھا ھم حوالہ دیتے تھے کہ سب امن سے رہتے ہیں,2021-01-05T09:09:06Z,0,0,,,,
sajjan kumar,"Suna hai BJP ke IT cell walo ne apne kaam ki speed badha di hai,kyonki 10 paise ki jagah 15 paise per msg milne laga hai FARMERS Protest ko badnaam karne ke liye....😂😂😂😂",2021-01-05T00:39:41Z,0,0,,,,
Jassi Lalpur,Kissen ekta jindabad,2021-01-04T09:58:13Z,0,0,,,,
Kamaljit Singh,Kamaljit USA 559 3695289,2021-01-04T09:10:22Z,0,0,,,,
Kamaljit Singh,Bhaji i proud of u,2021-01-04T09:07:40Z,0,0,,,,
Kamaljit Singh,Veer ji i proud of u Kamaljit USA 559 3y9 526o,2021-01-04T09:04:25Z,0,0,,,,
Kailasben Patel,किसानों का आंदोलन अहिंसक है तो पोलिस हिंसक करने से मजबूर मत करो। <br>जय जवान जय किसान ।।।,2021-01-03T09:16:31Z,0,0,,,,
Kulwinde singh Kinder,Vadia banda rabish,2021-01-02T08:19:27Z,0,0,,,,
Jagtar Jatt,Kisan majdoor ekta jindabaad modi Kisan birody,2021-01-02T05:31:03Z,0,0,,,,
Jonny Singh,Real news,2021-01-01T16:28:44Z,0,0,,,,
Jonny Singh,Good chanal,2021-01-01T16:28:33Z,0,0,,,,
Jonny Singh,👍,2021-01-01T16:28:22Z,0,0,,,,
Asim Pasha,Hii,2020-12-30T05:44:47Z,0,0,,,,
Markhibhai Varotariya,Jai jawan jai kishan.,2020-12-30T04:30:05Z,0,0,,,,
Pratik Jagdale,Salo EVM band Karne keliye Kya Karreo medio walo,2020-12-29T17:34:16Z,0,0,,,,
Afnan Mahmud,Modi Jindabad. Beat all Farmers.,2020-12-29T13:14:40Z,0,0,,,,
Debdas Banerjee,Capitalism trying to establish total hagimony over agriculture,2020-12-29T13:03:52Z,0,0,,,,
Ismail Hotel,کسان بھایوں کو سلام پیش کرتا ہوں 🇵🇰 چک دے پھٹے پنجاب دے شیر 🦁🦁🇵🇰🇵🇰🇵🇰,2020-12-25T16:24:36Z,0,0,,,,
Faqir Khan,Khalistan jindabad KASHMIR zindabad pakistan zindabad china zindabad ameen pak army zindabad ISI zindabad china army zindabad,2020-12-24T11:33:08Z,0,0,,,,
Rafiq Ibrahim,This is Modi’s R.S.S. BJP INDIA killing his ow people . Viralise this video on platforms,2020-12-24T05:50:23Z,0,0,,,,
Ikram Sheikh,Bohot khoob Ji.,2020-12-23T22:49:27Z,0,0,,,,
Help me for first 1 k subscribers pls,Ravish kumar gi aap ko kya lagta aage aane wale 5 salo me ye modi aur shah kya kya karenge,2020-12-22T16:39:05Z,0,0,,,,
S.F.I. JAI HIND,"DESH KE KISAANO KE SAATH YE KYA ZULAM HORAHA HAI. .<br>MUDI SARKAR BJP RSS MURDABAD <br>17,12,2020,",2020-12-17T04:31:35Z,1,0,,,,
azad kashmir  valog,Ksan bio support me,2020-12-14T13:56:25Z,0,0,,,,
Anjum Zaman,now only halistan halistan halistan halistan halistan halistan halistan halistan halistan only halistan halistan halistan halistan,2020-12-11T15:22:41Z,1,0,,,,
Vishnu Reddy,PM need to donate money to farmers from PM care fund due to the loss and punishment the farmers went through,2020-12-10T22:32:52Z,0,0,,,,
Atiq Ahmad,Really appreciated NDTV,2020-12-10T20:12:51Z,0,0,,,,
Atiq Ahmad,Kitna ganda country ka system hai yahan to life janwaro se hai. Ghareeb farmers k sath kyun zulm ker rhy hein ye gandi Govt. Shameless country sari dunia thoo thoo ker rhi ha. Pehly kashmir fir punjab and others farmers,2020-12-10T20:12:05Z,0,0,,,,
Nardosh kumar,आज हम भी तो देखें भारतीय लोग कितने नॉलेज रखते हैं भारत के ऐसे प्रधानमंत्री का नाम बताएं जिसे सबसे ज्यादा गाली खाने को मिली हो????😎,2020-12-10T17:24:23Z,0,0,,,,
Hyder Marakkar,Good the government should deal like this only. Government should never accept their conditions... whatever the people of this country is with Modiji and government...,2020-12-09T14:19:56Z,0,0,,,,
