id,message,tone
2,Mostly peaceful protest ? ?? ,"{'document_tone': {'tones': [{'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Mostly peaceful protest ?', 'tones': [{'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': '??', 'tones': []}]}"
3,Its all planned by govt only. The place where even a bird cant enter how come a person or people manage to enter and put flag there? And that is only republic day? Even any other day its not allowed to enter there!!!,"{'document_tone': {'tones': [{'score': 0.949952, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.562529, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Its all planned by govt only.', 'tones': [{'score': 0.664076, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'The place where even a bird cant enter how come a person or people manage to enter and put flag there?', 'tones': [{'score': 0.804675, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': 'And that is only republic day?', 'tones': [{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 3, 'text': 'Even any other day its not allowed to enter there!!!', 'tones': [{'score': 0.549194, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.968123, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
4,"If you are safe right now, then thank a farmer for not running  a tractor over you ??","{'document_tone': {'tones': [{'score': 0.549038, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.809841, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
5,"Many people had told these, the protestors are khalisthan people not farmers. Today the whole India have seen it.. They were well planned.. With liquor bottles in truck they came for protest. Can u imagine..  NDTV as usual are in ground to support the people who did the chaos today.","{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Many people had told these, the protestors are khalisthan people not farmers.', 'tones': []}, {'sentence_id': 1, 'text': 'Today the whole India have seen it..', 'tones': []}, {'sentence_id': 2, 'text': 'They were well planned..', 'tones': []}, {'sentence_id': 3, 'text': 'With liquor bottles in truck they came for protest.', 'tones': []}, {'sentence_id': 4, 'text': 'Can u imagine..  NDTV as usual are in ground to support the people who did the chaos today.', 'tones': []}]}"
6,Really! This is the sold out channel. Definitely!!,"{'document_tone': {'tones': [{'score': 0.986725, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.908592, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Really!', 'tones': [{'score': 0.997482, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'This is the sold out channel.', 'tones': []}, {'sentence_id': 2, 'text': 'Definitely!!', 'tones': [{'score': 0.999744, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
7,Why so bothered about one security officer roughed off What about my thousands of Sikh brothers roughed for more than 60 plus days sir,"{'document_tone': {'tones': [{'score': 0.597035, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
8,Rajeev Gupta  Sagar Kapoor  Pehle kaha jata tha ki bahar ka koi nai hai sabi farmere hi hai.... Now..those were on attack mode were outsiders and protectors were farmers by intellectuals,{'document_tone': {'tones': []}}
9,If the government would have step back and scrap the bill againts farmers will tihs wont be witness today as its going wrong image of our country around the world.,"{'document_tone': {'tones': [{'score': 0.696399, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
10,"""Mostly peaceful protest"" is like when we add dhaniya after making any dish for garnishing????","{'document_tone': {'tones': [{'score': 0.532616, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.904882, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
11,"Is govt support was there indirectly? ,for red fort , feeling suspicious , Hindutva goons were there who created all these mayhem in delhi.. farmers were protesting peacefully but it was planned by bjp to malign the image of peaceful protest. ","{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Is govt support was there indirectly?', 'tones': [{'score': 0.646059, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': ',for red fort , feeling suspicious , Hindutva goons were there who created all these mayhem in delhi.. farmers were protesting peacefully but it was planned by bjp to malign the image of peaceful protest.', 'tones': []}]}"
