level,id,parent_id,object_id,object_type,object_key,query_status,query_time,query_type,message,created_time,like_count,comment_count,error.message
0,1,None,102527030797_401528667811211,seed,,,None,None,,,,,
1,2,1,102527030797_401528667811211,data,data.*,fetched (200),06:56.5,Facebook:/<post-id>/comments,We can't and we must not endorse violence from anyone in any name or any form. Lal Qila (Red Fort) is our national pride and symbol of unity where only India's national flag must keep waving and no other religious or political flag.   Let's check who is actually responsible for this months long protest in Delhi borders and the chaos in our Republic Day today (26th of January 2021)?  A] Modi-led Central Govt. B] Delhi Police C] Farmers of India D] A few Corporate Houses,2021-01-26T20:01:15+0000,2,0,
1,3,1,102527030797_401528667811211,data,data.*,fetched (200),06:56.5,Facebook:/<post-id>/comments,"If this had happened in other country, The Prime Minister or President might have resigned by now.  What a shameful act by Politician who ordered to beat Farmers on Republic Day.",2021-01-26T18:09:53+0000,3,0,
1,4,1,102527030797_401528667811211,data,data.*,fetched (200),06:56.5,Facebook:/<post-id>/comments,This much of naughtiness was expected. Just think what would have happened if the rally has been taken out by andhbhakt ? Red fort would have been raised down.,2021-01-26T17:54:55+0000,1,3,
1,5,1,102527030797_401528667811211,data,data.*,fetched (200),06:56.5,Facebook:/<post-id>/comments,"""mostly"" peacefool protest?",2021-01-26T17:47:43+0000,0,3,
1,6,1,102527030797_401528667811211,data,data.*,fetched (200),06:56.5,Facebook:/<post-id>/comments,If NDTv reporters don't know what's happened..why are they reporting..Mr. Srinivasan jain & co..didn't you go there to do drama..rather than reality check??,2021-01-26T19:50:36+0000,1,1,
1,7,1,102527030797_401528667811211,data,data.*,fetched (200),06:56.5,Facebook:/<post-id>/comments,Security forces not enough to tackle the situation ! Total failure,2021-01-26T18:09:58+0000,0,1,
1,8,1,102527030797_401528667811211,data,data.*,fetched (200),06:56.5,Facebook:/<post-id>/comments,Why the news channels not questioning the big so called capitalist who r running the shows to be limelight of business magazines ask them questions y they r keeping silence shame nobody covers them of interview on their view on farm laws.,2021-01-27T13:37:09+0000,0,0,
1,9,1,102527030797_401528667811211,data,data.*,fetched (200),06:56.5,Facebook:/<post-id>/comments,Now rNDTV doing reality check... Now you want to twist the fact.. anti national rNDTV,2021-01-26T17:52:51+0000,5,0,
1,10,1,102527030797_401528667811211,data,data.*,fetched (200),06:56.5,Facebook:/<post-id>/comments,"It seems that there is a very fine tuning between RSS, Khalistanis and Pakistani ISI, which keeps on working to hurt India from time to time but by coincidence both RSS (BJP-India) and ISI (pakistan) are currently in power  to their respective country. They uses their same old invented tools and techniques to gain their political mileage. This tool is known as Khalistan and their techniques is known as Divide and Rule technique.????",2021-01-27T14:00:44+0000,0,0,
1,11,1,102527030797_401528667811211,data,data.*,fetched (200),06:56.5,Facebook:/<post-id>/comments,This reality check is as true as Harvard call for Nidhi. ,2021-01-26T17:52:09+0000,3,1,
1,12,1,102527030797_401528667811211,data,data.*,fetched (200),06:56.5,Facebook:/<post-id>/comments,"Is govt support was there indirectly? ,for red fort , feeling suspicious",2021-01-26T17:58:06+0000,0,0,
1,13,1,102527030797_401528667811211,data,data.*,fetched (200),06:56.5,Facebook:/<post-id>/comments,"Ndtv doing reality check..time to find the meaning of ""reality"" in alternate universe ????????",2021-01-26T18:16:11+0000,2,0,
